gene,mean_DFU,mean_Control,log2FC,t,df,P_value,adj_P_value,status_standard,status_relaxed,status_strict
SCARNA6,1.3639859262543594,2.3897111717434103,-1.0257252454890509,-4.841191415175467,43.614835533211945,1.653872180340521e-05,9.958372009387472e-05,Down,Down,ns
ATP1A2,0.6922213559565146,2.216079771167254,-1.5238584152107397,-4.838385365460401,43.614835533211945,1.6691123955192566e-05,0.00010045394233155771,Down,Down,Down
GPR84,1.6277467830485757,0.4633479118002059,1.1643988712483697,4.833503710472324,43.614835533211945,1.6959560738216695e-05,0.00010192520174103558,Up,Up,ns
SULF1,4.421310520534882,2.7708965154273604,1.6504140051075216,4.8311287030658505,43.614835533211945,1.7091693407689235e-05,0.00010257428989565215,Up,Up,Up
TNFRSF10D,2.9577982105201066,1.8155518556750285,1.142246354845078,4.830283518225557,43.614835533211945,1.7138959220064365e-05,0.0001027612350415989,Up,Up,ns
SNAI1,2.9624242402487986,1.5191239482025214,1.4433002920462772,4.8300797808657725,43.614835533211945,1.715037220373361e-05,0.00010278134244089039,Up,Up,ns
COTL1,5.742179301333115,4.29938558695753,1.4427937143755853,4.8271146855615354,43.614835533211945,1.7317321146625986e-05,0.00010352672291141196,Up,Up,ns
PAPSS2,3.2821813680833984,2.1086606164442734,1.173520751639125,4.818067718851297,43.614835533211945,1.783666549171059e-05,0.00010604708392344297,Up,Up,ns
HOOK2,3.0884062714013254,4.200477801332297,-1.1120715299309714,-4.813696810618479,43.614835533211945,1.8093046100231547e-05,0.00010712192057393358,Down,Down,ns
SLC13A2,0.07521817666234197,1.1654969878727879,-1.090278811210446,-4.810705604057044,43.614835533211945,1.8270587191171472e-05,0.00010807272655334406,Down,Down,ns
CLDN10,0.19788594769850973,1.4504074402891005,-1.2525214925905908,-4.809120627542105,43.614835533211945,1.83653567824571e-05,0.00010853262050355671,Down,Down,ns
C4orf48,3.5430510218006614,2.441264909376889,1.1017861124237727,4.808439653883094,43.614835533211945,1.8406222386246895e-05,0.00010869722769032049,Up,Up,ns
TXN,7.837598494815012,6.659777208667633,1.1778212861473794,4.808066992822016,43.614835533211945,1.842862388334865e-05,0.00010870501405381375,Up,Up,ns
IL24,2.259787405967145,0.38406136865251617,1.875726037314629,4.786742238776536,43.614835533211945,1.975623347516553e-05,0.00011546803185553896,Up,Up,Up
LHFPL2,3.880079487075313,2.853730935530328,1.0263485515449848,4.784343357493017,43.614835533211945,1.9911348851264776e-05,0.00011621484297491061,Up,Up,ns
ERRFI1,5.105062038349529,3.9812721297095295,1.1237899086399996,4.7502258626475475,43.614835533211945,2.225164687374992e-05,0.00012811523818552267,Up,Up,ns
GK,2.8723633539064743,1.7694199647004127,1.1029433892060616,4.744701579487458,43.614835533211945,2.2655239176883057e-05,0.00013008656696208447,Up,Up,ns
P2RY6,2.0224329059199966,0.9004812580843223,1.1219516478356741,4.739893071693006,43.614835533211945,2.301239571056435e-05,0.00013195911982771005,Up,Up,ns
SHMT1,2.634328375606977,3.742714417469463,-1.1083860418624858,-4.7368142708409025,43.614835533211945,2.3243979658138514e-05,0.00013302393490677585,Down,Down,ns
TPSAB1,4.512910500661865,6.381987881738645,-1.8690773810767807,-4.735717070806531,43.614835533211945,2.332706273389107e-05,0.00013334380593693984,Down,Down,Down
PRC1,3.4474120783412605,2.361686297154216,1.0857257811870444,4.735341478245478,43.614835533211945,2.3355570731187214e-05,0.00013338718922294247,Up,Up,ns
SCARNA9,2.712872014914035,3.8104296005911906,-1.0975575856771558,-4.730967138812037,43.614835533211945,2.369012389524805e-05,0.00013517680091100598,Down,Down,ns
KLF4,4.824012705348073,6.804281965639217,-1.980269260291144,-4.725902864873545,43.614835533211945,2.4083335100177905e-05,0.00013711373773775393,Down,Down,Down
CXCL12,4.8824924007468855,6.3826511712911635,-1.500158770544278,-4.725446652893312,43.614835533211945,2.4119070909600637e-05,0.00013725591758596026,Down,Down,Down
GRHL2,1.4038256859833116,2.6382390161779474,-1.2344133301946358,-4.725291036668396,43.614835533211945,2.4131272502225798e-05,0.0001372641026854976,Down,Down,ns
TNS2,3.6494394258694722,4.699291215705621,-1.0498517898361488,-4.72093676353312,43.614835533211945,2.4475156001901865e-05,0.00013872518421877977,Down,Down,ns
MUSTN1,2.2444553682902124,3.899963666928371,-1.6555082986381584,-4.714249125332246,43.614835533211945,2.5012727123518985e-05,0.0001415205452556511,Down,Down,Down
FKBP11,4.314139383788694,3.0627453791612838,1.2513940046274104,4.708080324838982,43.614835533211945,2.551887927282337e-05,0.0001438736814174697,Up,Up,ns
APOBEC3A,3.352409259903977,1.7200230379491976,1.6323862219547796,4.707902987448517,43.614835533211945,2.5533577826974962e-05,0.00014389293770544043,Up,Up,Up
MCEMP1,2.043437063518723,0.34246233024676426,1.700974733271959,4.7070908653762125,43.614835533211945,2.560099674764338e-05,0.00014414547970096955,Up,Up,Up
SLC39A14,3.962752437037426,2.5181413935753567,1.4446110434620691,4.7036200005361595,43.614835533211945,2.5891111411491252e-05,0.00014545786071839116,Up,Up,ns
CXCL1,4.2183459096929,1.3432284126696574,2.8751174970232425,4.702839839959475,43.614835533211945,2.5956765346668575e-05,0.00014569833999386635,Up,Up,Up
ACKR1,3.947226141965751,5.242027690637656,-1.294801548671905,-4.69919733661016,43.614835533211945,2.6265470848718664e-05,0.00014704282253455184,Down,Down,ns
KRT1,5.109268126928993,9.743823680437993,-4.634555553509,-4.698544656396056,43.614835533211945,2.6321166219478442e-05,0.00014728996612418103,Down,Down,Down
KRT10,6.473299807382938,10.072499876338348,-3.59920006895541,-4.695833474404551,43.614835533211945,2.6553766059311812e-05,0.0001483648039788466,Down,Down,Down
ADAMTS9,3.559996951463447,2.304571968325627,1.2554249831378201,4.694602605723649,43.614835533211945,2.6660031618552793e-05,0.00014872938899011538,Up,Up,ns
GGH,5.039635088062907,3.8734690667734406,1.1661660212894662,4.674361362397961,43.614835533211945,2.846870869732676e-05,0.00015764717412809735,Up,Up,ns
ABI3BP,3.0690551895952245,4.167491985883134,-1.0984367962879098,-4.672954538864316,43.614835533211945,2.859880658334646e-05,0.00015816156997286096,Down,Down,ns
C1QTNF6,4.463035808250342,2.9126157870075997,1.5504200212427421,4.666832972122071,43.614835533211945,2.917174294747582e-05,0.00016083699398449587,Up,Up,Up
TDO2,2.34963841750427,0.45088236187062836,1.8987560556336416,4.666708902444271,43.614835533211945,2.9183470875882023e-05,0.00016083699398449587,Up,Up,Up
HERC2P2,2.790783739157525,3.813016946019315,-1.0222332068617899,-4.6626566398835045,43.614835533211945,2.9569076511526404e-05,0.00016247067330956322,Down,Down,ns
CTSG,3.133315712351268,5.013839159151822,-1.8805234468005545,-4.655020078528699,43.614835533211945,3.0309413796558715e-05,0.00016618054778482944,Down,Down,Down
