NM_006615	CAPN9
NM_022786	ARV1
NM_001004342	TRIM67
NM_014236	GNPAT
NM_001010984	SPRTN
NR_028394	TSNAX-DISC1
NM_019090	MAP10
NM_032435	MAP3K21
NR_039625	MIR4427
NR_039818	MIR4671
NM_001206641	COA6
NM_182972	IRF2BP2
NR_033927	LINC00184
NR_038856	LINC01132
NR_036605	GGPS1
NM_001079515	TBCE
NM_003272	GPR137B
NM_145861	EDARADD
NM_000254	MTR
NM_001035	RYR2
NR_036695	RPS7P5
NM_020066	FMN2
NR_036069	MIR3123
NM_003679	KMO
NM_144625	WDR64
NM_130398	EXO1
NM_006642	SDCCAG8
NR_039824	MIR4677
NR_033883	LINC02774
NM_006352	ZBTB18
NM_001012970	SPMIP3
NM_001130957	CATSPERE
NM_016076	DESI2
NM_198076	COX20
NR_026586	DRC8
NM_018012	KIF26B
NM_016002	SCCPDH
NR_015422	LINC01341
NM_173858	VN1R5
NR_036070	MIR3124
NM_024836	ZNF672
NM_170725	PGBD2
NR_024540	WASH7P
NR_039983	LOC729737
NR_024321	LINC00115
NM_015658	NOC2L
NR_027693	PERM1
NM_001142467	HES4
NM_001205252	RNF223
NM_017891	C1orf159
NM_016547	SDF4
NM_001256456	INTS11
NM_032348	MXRA8
NM_017900	AURKAIP1
NM_030937	CCNL2
NM_017971	MRPL20
NM_001145210	ANKRD65
NM_001114748	TMEM240
NM_014188	SSU72
NM_001242659	FNDC10
NM_024011	CDK11A
NM_001198994	NADK
NM_178545	TMEM52
NM_024848	MORN1
NR_024489	LOC100129534
NM_153818	PEX10
NM_018216	PANK4
NM_001010926	HES5
NR_037844	TNFRSF14-AS1
NM_033467	MMEL1
NM_001242672	TTC34
NR_015440	PRDM16-DT
NM_001409	MEGF6
NR_030277	MIR551A
NR_033711	GFOD3P
NM_020710	LRRC47
NM_014704	CEP104
NM_207356	C1orf174
NR_039838	MIR4689
NM_015102	NPHP4
NM_015557	CHD5
NM_000983	RPL22
NM_012405	ICMT
NM_207370	GPR153
NM_181864	ACOT7
NM_019089	HES2
NR_036218	MIR4252
NM_024654	NOL9
NM_014851	KLHL21
NM_006786	UTS2
NM_018948	ERRFI1
NM_012102	RERE
NM_024980	GPR157
NR_029610	MIR34A
NR_027045	PIK3CD-AS1
NM_001009566	CLSTN1
NM_032368	LZIC
NM_001079843	CASZ1
NM_001170754	CIROZ
NM_006610	MASP2
NM_003132	SRM
NM_004958	MTOR
NM_012168	FBXO2
NM_001127325	MAD2L2
NM_005957	MTHFR
NM_006172	NPPA
NM_002521	NPPB
NM_138346	KIAA2013
NM_004753	DHRS3
NM_001146344	PRAMEF11
NM_001013631	HNRNPCL1
NM_001009611	PRAMEF4
NM_001039361	PRAMEF10
NM_001136561	HNRNPCL2
NM_001024661	PRAMEF14
NM_001099850	PRAMEF18
NM_001099854	PRAMEF14
NM_001099790	PRAMEF19
NM_001010847	LRRC38
NR_027136	TMEM51-AS1
NM_024758	AGMAT
NM_001089591	UQCRHL
NR_024279	SPEN-AS1
NM_003443	ZBTB17
NM_004431	EPHA2
NM_153213	ARHGEF19
NM_030907	CPLANE2
NM_018994	FBXO42
NM_198546	SPATA21
NR_026567	ESPNP
NR_002729	MST1L
NM_017459	MFAP2
NM_022089	ATP13A2
NM_018715	RCC2
NR_031622	MIR1290
NM_001136265	IFFO2
NM_020765	UBR4
NM_015047	EMC1
NR_040288	AKR7L
NR_037847	LOC100506730
NM_181719	TMCO4
NM_019062	RNF186
NR_033887	LINC01141
NM_018584	CAMK2N1
NM_024544	MUL1
NM_005216	DDOST
NM_020816	KIF17
NM_001103161	SH2D5
NR_031657	MIR1256
NM_001113349	ECE1
NM_001145657	RAP1GAP
NM_032236	USP48
NM_005529	HSPG2
NR_036214	MIR4253
NM_001242521	TEX46
NM_033631	LUZP1
NM_001102398	HNRNPR
NM_001077195	ZNF436
NM_004091	E2F2
NR_038280	ELOA-AS1
NM_001127621	GALE
NM_000191	HMGCL
NM_001841	CNR2
NM_001199012	STPG1
NR_045408	RCAN3AS
NM_001031680	RUNX3
NM_020317	RSRP1
NR_024498	LOC646471
NM_024037	AUNIP
NM_203401	STMN1
NM_145345	UBXN11
NM_001039775	CRYBG2
NM_001114759	ZNF683
NM_018066	GPN2
NM_022078	GPATCH3
NM_152365	KDF1
NM_004672	MAP3K6
NM_003665	FCN3
NM_207397	CD164L2
NM_001042747	FGR
NM_001990	EYA3
NM_001164721	PTAFR
NM_001171868	TMEM200B
NM_005626	SRSF4
NM_001024732	MECR
NM_006762	LAPTM5
NR_039616	MIR4420
NM_014654	SDC3
NM_001020658	PUM1
NM_024522	NKAIN1
NM_004814	SNRNP40
NR_036216	MIR4254
NM_144569	SPOCD1
NM_019118	TMEM234
NR_052852	MARCKSL1
