gene,GSM4448287,GSM4448288,GSM4448289,GSM4448290,GSM4448291,GSM4448292,GSM4448293,GSM4448300,GSM4448301,GSM4448302,GSM4448303,GSM4448304,GSM4448305
RHD,2.1178458213076925,2.226812308,2.2978817703076926,1.8118873356153848,2.4012471406923077,1.8907301993846157,1.9255014107692305,2.124768747923077,2.4476697364615387,2.0037655313076925,2.0172580594615384,2.1551625623846156,2.1766192056153844
LRP12,2.604408380461538,2.14274442,2.680769077692308,2.956449640384615,2.7228317937692306,2.5218204385384615,2.691714644230769,2.6766656526153847,2.6920202134615385,2.484009834692308,2.835529668,2.6795604285384615,2.6768287350769233
GLRX2,5.841827272615385,5.744402051076922,5.497887849615386,5.48124466176923,5.716154740307692,5.486662396307692,5.536217365384615,5.257907426461538,5.165347201461539,5.6572785703076915,5.457297642076924,5.713051309307692,5.581896862384615
KPNA5,0.706891039076923,0.7131989543846153,0.8248587634615385,0.6696517996923077,0.6267001765384616,0.6192934217692307,0.9597522475384618,0.938270276076923,0.7954896012307693,0.9281449942307692,1.2759308998461536,1.0091761724615382,0.648496136076923
PCDHGA8,3.0083783678461535,2.8427206641538456,2.8749929156153846,2.776657753,2.9665666191538467,2.8271137993846156,2.8265354228461543,2.723132630846154,2.796863394153846,3.312159301230769,2.7900169913846153,2.4559885420000005,2.930453404769231
MYL10,3.449596799384615,3.4664567003076923,3.3613008413076924,3.6050224789999996,3.2023675202307698,3.2334629622307696,3.249976411692307,3.245324455,3.121966411384616,3.1005575434615387,3.202943973307692,3.4787450887692306,2.886972496615385
DLGAP2,1.6740411201538459,2.121078184538461,1.9402895096153847,1.7193395384615386,1.7648724386923076,1.8557244667692305,1.7193395384615386,2.0098598494615385,2.132370938923077,1.5956941953846155,1.5500580376923077,1.9834011470769233,1.7219798646153848
STARD3,2.7292469569230775,2.5693561623846155,2.5401387346153848,2.5081113276923075,2.3943005976923075,2.6435884836153845,2.4854233601538462,2.782307584923077,3.041612291846154,2.3952088496923074,2.725717842230769,2.892670665461538,2.5643209422307693
CBFA2T2,4.099321437384615,4.045546171846154,4.136298565307693,4.2428176508461535,3.6697255268461535,4.112540213076924,4.270113169461538,3.945658887307692,3.8766628163846155,4.159960111538462,3.8165578346153852,3.7332282953076925,3.899843551615385
RET,1.498473474846154,1.7577795662307691,1.1884095959999998,1.539484534846154,1.0884694489230768,1.535786299923077,1.4862456185384616,1.6683958816923077,1.4196000181538464,1.6975288512307691,1.5682779379230771,1.506650827384615,1.671786421153846
BARD1,4.102508212923078,3.773615489615385,3.9661745453076924,3.579112678461539,3.874409005,3.8042454176153835,3.8697472545384617,4.121935321923076,3.6821152433076922,3.6765063973076924,3.696342919461539,3.625337915307692,3.4986205548461538
RUSC1,5.785240942,5.877291808923077,5.6593492179230775,5.632386323538461,5.506662246307694,5.573464656846155,5.717582401384615,6.065524485538462,6.183540870076921,5.721183637076924,5.895350608615386,5.9065194490769235,5.817583885230769
KRCC1,6.473881371538462,6.134122415615384,6.181469571615384,6.085929294923076,6.487418904615385,6.401375279846154,6.170548255769229,6.002644938076923,6.001665521846154,6.294812567230769,6.191179621615384,6.28985889776923,6.613779324
SLC6A20,0.664135515,0.7413659702307692,0.8921458808461538,1.0745575576923077,0.8046683624615384,1.1298964181538464,0.6397564265384617,1.0600805523846153,1.1214217383076923,1.117642450923077,0.7146695758461538,0.9530542333846154,1.1260676049999998
MED31,1.3525840009230767,0.7685964282307692,1.2419179637692308,1.1577005765384616,1.0412575581538461,0.889040277,1.3148444995384614,1.406696283846154,0.9587668823076924,0.938581819923077,1.1623186493076922,1.0156876774615384,1.0849019075384616
RPS6KB2,4.44735007323077,4.330742584615384,4.300710111769231,4.239384224999999,4.367925507000001,4.399792315153846,4.217018697,4.509308880307692,4.847039473307692,4.221875728692308,4.446972918153846,4.034163228461538,4.322101294076923
IPO4,3.9178992975384612,4.071051809384615,3.5549758807692298,3.881383358923076,3.759209588153846,3.5973564273846153,3.615882638461538,4.030296885461539,3.908216697538461,4.106187339000001,4.084615530384616,4.014776324461538,3.873851564461539
NLGN4X,1.3110061853076922,1.0001030071538461,1.1943159731538462,0.957356869,0.6767129533846153,1.2860732582307692,1.1665982067692309,0.8114807311538462,0.9504563420000001,1.2352130958461538,0.9910810924615385,0.9801374905384616,1.2081845408461538
RIN2,7.766854759923077,7.678905037692307,7.861445003846153,7.735883355,7.761722284307694,7.8459526219999995,7.836708677461538,7.468716093230771,7.370230916846154,8.062606418538463,7.718727154000001,7.452275688538462,7.830392709846155
ALDH2,7.376546214230768,7.054099358000001,7.115524646230769,7.3584283998461535,7.170991795538462,7.374907852384616,7.363142469846155,7.43075040653846,7.329637081846154,6.980665561307693,7.003788680923078,6.856465548923078,7.364500342615383
B9D1,2.3729486264615387,2.303514115846154,2.4077938189999997,2.159787601769231,1.9694118269230765,2.2819020635384617,2.4161248585384616,2.442722377923077,2.640721906153846,2.038491026923077,2.2997674908461536,2.341565813307692,2.01921292
GTF2E1,3.897177424615385,3.936017416384615,3.932372670461539,3.938720849,3.9223382710769235,3.6227427669230767,3.616464083769231,4.082219453153846,3.9466722117692306,4.263396286461539,4.257022060538461,3.856587799153846,3.8927857886923074
ZFX,1.5887727129230766,1.3116078409999998,1.107240698769231,1.3777243786923075,1.283881918153846,1.3509661135384616,1.1645449306923075,1.076800802846154,1.0104463046923078,1.2554753832307692,1.4655921127692306,0.8862338889999999,1.2964148906153845
ERP44,1.711318030307692,1.7994337472307693,1.632542587,1.8753131364615387,1.7418633453846155,1.8009881940769235,1.5230420246923073,1.748131006153846,1.363357859076923,2.072130828153846,1.9605016402307693,1.5679979636153847,1.9039774272307695
MYOD1,2.7493575491538462,2.7916860730769226,2.9530986768461536,2.596032544153846,2.757950536923077,2.7200200903846152,2.488185518153846,2.7066525421538463,3.300746500384615,2.741974597923077,2.855456227846154,2.8191423814615386,2.728257188076923
USP22,2.0937283912307696,1.8483073287692307,1.4870608872307693,2.002184619153846,2.020265155,1.880643768461539,1.9178413384615387,1.7302957190000003,1.7101965946923081,1.734760937923077,1.9646483729999997,1.6846602806153848,1.499918356230769
CEP85,4.706041651461538,4.800279909307693,4.7633111370000005,4.473037257615385,4.91099156,4.790778641153846,4.925963716846154,5.081566337769232,5.200398351923078,5.025991319,4.940878372153846,4.702029907,5.0054272200000005
COL4A4,1.0800416322307693,0.873640575076923,0.6731332272307693,0.5921686642307692,0.5115334454615386,0.7222124643076923,0.36360626076923086,0.6486114265384616,0.5326589771538462,0.7007297451538462,0.842180358,0.5801548074615386,0.45179604969230763
GTPBP2,3.1186807943076924,3.38081498623077,3.5225497294615384,3.0525926562307695,3.1423357147692306,3.3493892164615384,3.259445039307692,3.2971108769230772,3.720490251615384,3.3258838606923073,3.6136992279230773,3.282318858153846,3.271034064384615
MAPK8,1.0694213595384616,1.2573100006153846,0.9524979836923075,1.494894536846154,0.9105238766153847,1.1696036739230768,1.0830623946153846,1.2426982346153845,1.2783883248461538,0.9324376443076924,1.457694557,1.3247422815384615,1.0446893160000001
ALX4,1.4958510439230766,1.4241348086153847,1.239010411,1.2093096616153847,1.3565661287692308,1.128857761076923,0.7831274462307694,1.1834263525384616,1.4895484148461537,1.1967651207692307,1.4028359319230772,1.406696283846154,1.3005168103846154
SYK,4.654807741076923,4.486681245153846,4.601736881076922,4.494330981230768,4.438032914000001,4.344177334076923,4.579169711692308,5.029256163923076,4.78603994246154,4.582139605692308,4.721665415538462,4.482711832846155,4.316105578230769
HK3,1.6040786873076924,1.7739776203846154,1.6992234055384616,1.3810330723846154,1.575206152153846,1.7552575865384616,1.2889400324615385,1.5305859866923077,1.760139181307692,1.3983110294615386,1.4176311691538461,1.9538819528461535,1.5449028201538464
NMUR1,1.5292600405384618,1.5616744373846152,1.8026638870769232,1.7503188942307693,1.3216339406153845,1.7625105600000002,1.4085839571538463,1.3607420545384614,1.5994338712307692,1.5559345164615386,1.7817982216923076,1.9477118366923079,1.7625105600000002
KCNS1,2.4550107876153846,2.6018357954615388,2.492086825615385,2.221478831076923,2.7228317937692306,2.5248760734615385,2.4530436472307695,2.4218797361538464,2.3932495726153844,2.3483799402307692,2.4366420006923075,2.9340313745384616,2.2339187093076927
FGF21,1.3556395756153845,1.6339071398461538,1.7393201156923082,1.8390958554615389,1.1938016607692308,1.390762958076923,1.3644881098461537,1.4029862693076924,1.4499401883076923,1.5779719027692307,1.3717554046153848,1.7662884937692307,1.4734215207692307
HDAC5,5.378612781769231,5.204463224538463,5.371270075076923,5.167242344846154,5.223415649461539,5.3907752666153845,5.636616185461539,5.354848183384615,5.7987024603846145,5.200302452384616,5.175699515461537,5.2643368399999995,5.186639358538462
TBC1D8,2.6314767250769227,2.585272103076923,2.4363389611538464,2.4832989256923077,2.636192923923077,2.2424989917692306,2.5574093747692306,2.300134967692308,2.6948757126153846,2.103362714230769,2.2593881523846155,2.692359636384615,2.5460296156153848
SLC12A7,5.196824771307693,5.398138353538461,5.4434576640769246,4.8920120638461535,5.280271744384615,5.320397696153846,5.477677598307692,5.470012516307692,5.642427174769231,5.3664228,5.288199823769231,5.602741216923078,5.465187917846153
ROM1,2.2645382062307684,2.260131998230769,2.2708567425384616,2.129215295076923,1.9717981660769228,2.3739066825384616,1.8722430571538458,2.011721691692308,2.1415288143076925,1.9030466013846152,1.835155052769231,1.781525431769231,1.980729816153846
CSNK1D,4.000685921,3.771532295461538,4.079287352692307,3.9703180013846153,4.045546171846154,4.2401371526923075,3.9404558969230767,4.036234348999999,4.497344052538462,4.201472868076922,4.219766018846155,4.186434974846154,3.836711594307692
JAG2,5.289783290230769,4.914461817692308,5.0295099749230765,4.751746884307693,5.003678165153847,4.954484421384616,5.021476937538462,5.317829058153847,5.463112567692307,4.908406017384615,5.091574039153846,5.038437457307692,5.109958286692308
ITGB1,0.9568978452307694,0.6824678973076923,0.7600401271538462,0.4294354935384615,0.7231814205384615,0.7033646403846153,0.728850225,1.0395021513846154,0.7669116077692307,0.3776189566153846,0.6044340507692307,0.7532655423846152,0.45179604969230763
USP20,3.278392270923077,3.4601958646153843,3.2264317110769225,3.2941837983076927,3.360929238461538,3.4462008176923073,3.503123478615384,3.510738058615385,3.792794379846154,3.5638969930769226,3.5777895146153846,3.1378624002307687,3.729418746076923
IDH3B,6.777764443307693,6.627426125230769,6.639872991769232,6.476659380692308,6.84520810223077,6.820635902307692,6.806636191769231,7.127147480692307,7.060991313461539,6.651121885307694,7.0125519238461544,6.962956899153847,6.702812758076925
ZNF516,3.7065917740769234,3.270724211923077,3.470706225615385,3.8939674493076923,3.5456806613076925,3.5344501835384614,3.5298615303846157,3.783611921923077,3.8317358441538456,3.7408058665384614,3.692116661692308,3.3827434059230774,3.836711594307692
DLX4,1.6967218359999998,1.0178093606923078,1.3252315607692309,1.4399336198461536,1.1225928217692307,1.2335344856923076,1.334115805076923,1.0928879337692308,1.5176120553076922,1.4632761200000002,1.4977084426153846,1.3987417228461538,1.4160532818461538
RGPD6,3.2125721486923076,2.9362310224615387,3.2228376398461545,3.0948777632307696,3.0516475363076916,3.182919056076923,3.1378624002307687,2.814312555538462,2.5654229994615387,3.2407873883846157,2.957518856461538,3.116356959692308,3.112684502
INTS5,5.2245446019230775,5.3664228,5.223893603461538,4.817752846538462,5.008187624769231,5.006696756,5.043150098153847,5.438584093384614,5.123808486615385,5.159423667769232,5.399619572384615,5.0072008661538465,4.911568245846154
