gene,GSM2114231,GSM2114232,GSM2114233,GSM2114234,GSM2114235,GSM2114236,GSM2114237,GSM2114238,GSM2114239,GSM2114240,GSM2114241,GSM2114242
PTK2,7.084937499999999,5.442994166666668,6.977594999999998,7.2241116666666665,8.075328333333333,7.790335833333333,7.7712433333333335,7.689140833333334,7.742549166666666,7.8419766666666675,7.701062499999999,7.9734108333333324
REG3G,6.174225833333334,8.030236666666667,6.312590833333332,6.347595833333333,5.978295833333333,5.955236666666667,5.743075,5.233025,5.807735833333333,5.814769166666667,5.478765,5.438876666666666
NPM3,7.528276666666667,4.676804166666667,7.2032508333333345,7.1416875,6.703272500000001,6.663900833333333,6.341255,6.440931666666665,6.476424166666667,6.073058333333333,6.285317500000001,6.243094166666666
ROPN1,3.3918866666666663,5.536323333333333,4.3658866666666665,3.4190925,3.0874566666666663,3.4141500000000007,3.5189450000000004,3.8200841666666663,3.2619974999999997,3.2702666666666667,3.164706666666667,2.8951975
TAB1,7.4593275000000006,9.437841666666666,7.481180833333334,7.279812500000001,7.315388333333332,7.437128333333335,6.850995000000001,7.0674675,6.7767525,6.979489999999998,6.917168333333334,6.801228333333334
IFT57,7.322553333333333,5.297453333333333,7.534556666666666,7.7461825,7.359181666666667,7.012746666666666,7.410015833333333,7.757834166666665,7.641743333333333,7.928375833333334,8.094385833333332,7.503171666666667
SAXO6,5.676656666666666,5.0269908333333335,5.150650833333334,5.5826641666666665,5.172326666666667,5.147191666666666,6.090867499999999,6.603250833333334,6.460033333333333,6.921598333333335,6.6099758333333325,6.749525000000001
ERI2,7.137994166666666,5.33646,6.590586666666666,7.142869999999999,6.2277933333333335,7.231656666666666,8.145583333333333,7.308717500000001,7.461804999999999,7.47223,7.2287125,7.439115833333332
MED18,6.050131666666666,4.254183333333333,6.339523333333333,5.737637499999999,5.5143200000000006,6.703478333333334,5.281294999999999,5.27426,4.731248333333333,4.951764166666666,4.851923333333333,4.899902499999999
PPIL6,4.621476666666667,4.85714,4.999725833333334,5.765751666666667,5.3945558333333326,4.852644166666667,6.013756666666666,6.057009166666667,6.166735,6.648315833333332,6.187481666666667,6.654664999999999
RSF1,6.938658333333333,5.204969166666667,7.148428333333334,6.832978333333333,6.895336666666666,6.722286666666665,7.5162875,7.707023333333335,7.502121666666667,7.596165833333334,7.832505833333333,7.663776666666667
ZNF140,6.016820833333333,4.743873333333333,6.314954166666666,6.240359999999999,5.315287499999999,5.523175833333333,6.670866666666666,7.264036666666667,6.673218333333334,6.731630833333333,6.645307499999999,6.662095833333333
VN1R10P,3.2348266666666663,5.7961341666666675,3.2166083333333333,3.409580833333333,3.513735,3.284710833333334,3.334090833333334,3.2887958333333334,3.5490033333333337,3.1885591666666664,3.704625,3.313194166666667
PRDX5,10.817008333333332,9.332255833333333,10.160554999999999,10.452950000000001,9.5517525,9.834298333333331,9.006935833333333,9.402415833333333,8.801709166666667,8.770453333333334,9.121181666666669,8.482035
CCDC71L,6.6460599999999985,7.0010249999999985,8.6285075,7.8360275,7.2986941666666665,8.001744166666667,6.765156666666667,6.502082500000001,6.5264750000000005,6.498155833333333,6.663543333333333,6.483563333333334
GPHN,6.644335000000001,6.034645833333333,6.246881666666667,6.8941175,5.8964324999999995,6.382679166666667,7.533347499999999,7.554113333333333,7.680615833333332,7.8432441666666675,7.5162875,7.632832499999999
PCAT19,6.212399166666667,6.323944166666667,5.343180833333334,6.3352900000000005,6.379835833333334,7.0283875,7.1346783333333335,6.346510833333333,7.719459999999999,7.308996666666666,7.5330474999999995,7.561485
KLF11,9.427373333333334,7.495994166666666,10.146145833333334,9.246368333333331,8.100485833333334,8.437539166666667,9.191963333333334,9.210655833333334,9.428579999999998,9.044780833333332,9.445155,9.545934166666667
PHC1,6.508869999999999,4.722336666666667,6.570848333333333,6.999346666666665,6.809681666666666,7.224005000000001,7.2637075,6.952598333333333,7.419779166666667,7.318983333333333,6.975875000000001,7.0666841666666675
GNPAT,8.360329166666666,5.929631666666666,7.793271666666667,8.442331666666668,7.7535066666666665,8.102161666666667,8.104856666666665,8.444953333333332,8.17242,8.399775833333335,8.561366666666666,8.499491666666666
PPDPF,11.040491666666668,11.229016666666666,11.115358333333333,10.977741666666667,10.463483333333334,10.781274999999999,9.845947500000001,9.603562499999999,9.780450833333333,9.621719999999998,9.745275000000001,9.2313875
EXOC2,8.4989125,6.021125833333333,8.338989999999999,8.235291666666667,8.525990833333333,8.786956666666667,8.423545,8.617664166666666,8.282490000000001,8.313434166666669,8.367990833333334,8.52366
HELB,5.163521666666667,4.650619999999999,4.738488333333334,5.2318033333333345,6.928154166666668,5.362610833333334,6.464700833333333,6.228441666666668,5.593754999999999,5.9522525,6.1733675,6.295636666666667
VCL,10.044492499999999,7.627819166666668,9.515055833333333,9.77574,10.093310833333334,10.350626666666669,10.322145833333334,9.170230833333333,9.535424166666667,9.624945833333333,9.468731666666669,9.5721625
MC3R,5.803919166666668,7.448066666666667,5.381975,5.418056666666666,5.24486,5.352268333333334,5.1007825,4.772560833333333,5.390056666666667,4.892681666666667,5.009180833333334,4.7799225000000005
RAB3GAP2,8.2168525,6.265335,8.461477499999999,8.268965,8.8490325,8.982118333333334,8.669134166666664,8.648617499999999,8.582606666666665,8.7800325,8.6899675,8.746455833333332
