gene,mean_DFU,mean_Control,log2FC,t,df,P_value,adj_P_value,var_pooled,var_post,status_relaxed,status_standard,status_strict
RNF31,3.4562144437890687,3.9491610185521586,-0.4929465747630899,-4.830591141341909,43.614835533211945,1.7121740929049167e-05,0.00010270628507439512,0.10280596759793155,0.10835059284657114,ns,ns,ns
TNFRSF10D,2.9577982105201066,1.8155518556750285,1.142246354845078,4.830283518225557,43.614835533211945,1.7138959220064365e-05,0.0001027612350415989,0.6190892518256601,0.5818438690824407,Up,Up,ns
SNAI1,2.9624242402487986,1.5191239482025214,1.4433002920462772,4.8300797808657725,43.614835533211945,1.715037220373361e-05,0.00010278134244089039,0.9976676927985956,0.9290453993366631,Up,Up,ns
OLFML1,2.548852735881919,3.4135250038679907,-0.8646722679860717,-4.828718592634017,43.614835533211945,1.7226815759885383e-05,0.00010319097293838342,0.3484493680363528,0.333634854438128,Down,ns,ns
ARHGEF10,2.216349737638319,2.902977182456245,-0.6866274448179261,-4.828215125306189,43.614835533211945,1.7255175156272173e-05,0.00010331232336522959,0.21410699162696725,0.21042689112290594,Down,ns,ns
FAM120B,3.2283606736766206,3.7651712561506385,-0.5368105824740179,-4.827449298448081,43.614835533211945,1.7298400998733143e-05,0.00010351556325477327,0.1249492339906352,0.12865860604620083,ns,ns,ns
UBE2V2,4.134290431763644,3.477373167940997,0.6569172638226473,4.827326287236654,43.614835533211945,1.730535410171541e-05,0.00010351556325477327,0.19475801577064106,0.19268157522772866,Up,ns,ns
ZNF136,1.3145804091682016,1.8188727023509335,-0.5042922931827318,-4.8270062753656955,43.614835533211945,1.7323455398177146e-05,0.00010352672291141196,0.10849062930740794,0.1135641048453933,ns,ns,ns
COTL1,5.742179301333115,4.29938558695753,1.4427937143755853,4.8271146855615354,43.614835533211945,1.7317321146625986e-05,0.00010352672291141196,0.9982007186708604,0.929534247560666,Up,Up,ns
POMGNT2,2.070315496128491,2.565106603409181,-0.49479110728068987,-4.82625765163523,43.614835533211945,1.736587377942911e-05,0.00010368304696117014,0.10390561004212355,0.10935909596781268,ns,ns,ns
FHOD1,3.88583752297062,3.2252394737221266,0.6605980492484935,4.826393859101574,43.614835533211945,1.7358148409307717e-05,0.00010368304696117014,0.1972010771180211,0.1949221535240927,Up,ns,ns
DDX59,2.684881415705969,3.175478308536744,-0.4905968928307751,-4.823204922014512,43.614835533211945,1.7539908874208976e-05,0.00010467312020252086,0.10204105368272323,0.1076490756624691,ns,ns,ns
LINC00641,1.6834944976405795,2.5045951608505526,-0.8211006632099731,-4.822666181132906,43.614835533211945,1.757080017505963e-05,0.00010480842592728506,0.31353404328159606,0.3016133421908384,Down,ns,ns
TXNL1,4.837600914727159,4.314032650650562,0.5235682640765971,4.8207765981501325,43.614835533211945,1.767957274445564e-05,0.00010540794352970677,0.11848301445871554,0.12272831241756087,ns,ns,ns
ZBTB20,1.0859231424415952,1.8579232633087681,-0.772000120867173,-4.8193802812998525,43.614835533211945,1.776037669531938e-05,0.00010584022616607853,0.2757747172999917,0.2669835420139226,Down,ns,ns
CDK5RAP1,2.981230982049853,3.4105068218347103,-0.4292758397848573,-4.81921543012897,43.614835533211945,1.7769940502843085e-05,0.00010584775863276874,0.07468106465755572,0.08255670634301279,ns,ns,ns
BICD1,1.904145978188819,1.3930175600979453,0.5111284180908737,4.818912384625002,43.614835533211945,1.7787534863256127e-05,0.00010590309622367198,0.11229822601480033,0.11705612462338191,ns,ns,ns
INPP5E,2.3543653944759826,3.0035350522786137,-0.6491696578026311,-4.818639048696208,43.614835533211945,1.780341904922267e-05,0.00010594820491588273,0.19057201857188436,0.18884251712047603,Down,ns,ns
NCLN,4.284248301094555,3.511651751163508,0.7725965499310474,4.818229095040581,43.614835533211945,1.782726860444228e-05,0.00010604065135841997,0.2763640401468678,0.26752402127027775,Up,ns,ns
PAPSS2,3.2821813680833984,2.1086606164442734,1.173520751639125,4.818067718851297,43.614835533211945,1.783666549171059e-05,0.00010604708392344297,0.6577055979262938,0.6172596588049337,Up,Up,ns
LGALS3,6.846341389429483,7.544304497005301,-0.6979631075758181,-4.817296120023844,43.614835533211945,1.7881662937702103e-05,0.00010626507336650276,0.222821343948126,0.21841899033834186,Down,ns,ns
B3GNT5,3.3379336039766834,2.376139233914783,0.9617943700619005,4.817028197352056,43.614835533211945,1.7897313563830508e-05,0.00010630854209572914,0.43694894138842855,0.4147995061169678,Up,ns,ns
CYP2T1P,0.725723309880067,1.5987860399974037,-0.8730627301173367,-4.8163590454637255,43.614835533211945,1.793646083481093e-05,0.00010649147347595149,0.3574496259821294,0.341889163171149,Down,ns,ns
COQ2,2.9848603640030573,2.3748505583073913,0.610009805695666,4.815762389407844,43.614835533211945,1.7971438019070973e-05,0.00010664948769530579,0.16669655118169394,0.16694586924981314,Up,ns,ns
TIMM23,4.889786294211249,4.281656887097566,0.6081294071136831,4.8147023879388495,43.614835533211945,1.803374322562057e-05,0.00010696945458434377,0.16565568995642269,0.16599127550890252,Up,ns,ns
NPC1,4.181019079602221,3.5939789282906496,0.5870401513115713,4.813925570979851,43.614835533211945,1.8079538340876056e-05,0.00010712192057393358,0.15337458294329293,0.15472803733502208,Up,ns,ns
HOOK2,3.0884062714013254,4.200477801332297,-1.1120715299309714,-4.813696810618479,43.614835533211945,1.8093046100231547e-05,0.00010712192057393358,0.5901639508472838,0.5553159222269721,Down,Down,ns
SNHG10,1.6118399580303915,2.0249278922966254,-0.4130879342662339,-4.813815844569556,43.614835533211945,1.8086016186469323e-05,0.00010712192057393358,0.06820709781704615,0.07661930750946244,ns,ns,ns
ZNF34,1.3962814874684393,1.843093882096246,-0.44681239462780664,-4.814112083305086,43.614835533211945,1.8068532579462726e-05,0.00010712192057393358,0.08239285339417482,0.08962933531646995,ns,ns,ns
PDK2,2.804298340207506,3.4718635683457406,-0.6675652281382347,-4.810978371865386,43.614835533211945,1.8254326391353715e-05,0.00010802664708535216,0.2031010360592183,0.20033311873266674,Down,ns,ns
SLC13A2,0.07521817666234197,1.1654969878727879,-1.090278811210446,-4.810705604057044,43.614835533211945,1.8270587191171472e-05,0.00010807272655334406,0.5673890735280787,0.5344286465642105,Down,Down,ns
UBE2K,4.2184554322185575,3.6079662097762903,0.6104892224422671,4.809649367234094,43.614835533211945,1.8333688462268682e-05,0.00010839570188192513,0.16744653555903405,0.16763369426914082,Up,ns,ns
CLDN10,0.19788594769850973,1.4504074402891005,-1.2525214925905908,-4.809120627542105,43.614835533211945,1.83653567824571e-05,0.00010853262050355671,0.7542288465366628,0.705782976552509,Down,Down,ns
ELOC,4.5284376729281375,3.8921873024418296,0.6362503704863078,4.808372497327656,43.614835533211945,1.8410257336398672e-05,0.00010869722769032049,0.18330344123529002,0.1821763658004194,Up,ns,ns
C4orf48,3.5430510218006614,2.441264909376889,1.1017861124237727,4.808439653883094,43.614835533211945,1.8406222386246895e-05,0.00010869722769032049,0.5803156874945323,0.5462838915132465,Up,Up,ns
AP1G2,3.510194924380114,4.310958793517739,-0.8007638691376249,-4.808136207267629,43.614835533211945,1.8424461217358967e-05,0.00010870501405381375,0.29933832242604824,0.2885941750363613,Down,ns,ns
TXN,7.837598494815012,6.659777208667633,1.1778212861473794,4.808066992822016,43.614835533211945,1.842862388334865e-05,0.00010870501405381375,0.6654708847963515,0.624381351939963,Up,Up,ns
SH3GL1P1,0.777749899521601,1.2764921510959906,-0.49874225157438956,-4.807479862908613,43.614835533211945,1.8463972076832036e-05,0.00010886316962359637,0.10676591441900171,0.11198233582820383,ns,ns,ns
DMTF1,3.1239733506116494,3.807315550970053,-0.6833422003584038,-4.806971346754295,43.614835533211945,1.849464128111933e-05,0.00010899360455550591,0.21392971840096772,0.21026431045618346,Down,ns,ns
ZNF510,1.19163673199484,1.6012867058617168,-0.40964997386687685,-4.80673733577391,43.614835533211945,1.8508771608027885e-05,0.00010902649622040629,0.06706444448191669,0.07557135827736287,ns,ns,ns
FBXO32,1.988673180587865,2.9060210740925583,-0.9173478935046933,-4.806243310568142,43.614835533211945,1.853863734702088e-05,0.00010915200465676698,0.39796137028852857,0.3790432588462779,Down,ns,ns
GPR161,2.052863780704491,1.4074686540997023,0.6453951266047888,4.804930854597862,43.614835533211945,1.861821112236761e-05,0.00010956993375337063,0.18934743636531642,0.18771942935311722,Up,ns,ns
SLC39A7,4.507110716602701,3.7875628156790113,0.7195479009236894,4.803692996164097,43.614835533211945,1.8693570270844617e-05,0.00010996268526941024,0.2392149403996978,0.23345387124631947,Up,ns,ns
ANKRD13B,1.3836962641997304,1.997968496700268,-0.6142722325005376,-4.803016909747396,43.614835533211945,1.8734856253255217e-05,0.0001101547357297205,0.170230286893945,0.17018672587031808,Down,ns,ns
SHROOM3,0.5610818132750776,1.2576694185261326,-0.696587605251055,-4.802359080362148,43.614835533211945,1.8775113538094246e-05,0.00011034056357203499,0.22336154728462215,0.2189144211520931,Down,ns,ns
SCO2,3.591924241679068,2.7784034328340494,0.8135208088450185,4.801543446987673,43.614835533211945,1.8825146287149153e-05,0.00011053273047882742,0.31033681986960043,0.298681107438229,Up,ns,ns
WFS1,2.749066927646518,3.4343877789310935,-0.6853208512845756,-4.801544888890286,43.614835533211945,1.8825057721993943e-05,0.00011053273047882742,0.21578085226293647,0.2119620207323661,Down,ns,ns
DYNLT1,5.791034278794301,5.062877677364055,0.7281566014302463,4.800588270685467,43.614835533211945,1.8883905843036786e-05,0.00011082671477968161,0.2456795917916142,0.2393827267037646,Up,ns,ns
ALPK1,2.0337416392956373,2.5797025063586854,-0.545960867063048,-4.798205176711888,43.614835533211945,1.903129516289681e-05,0.00011158894674423375,0.13154672334004563,0.13470928973559504,ns,ns,ns
SMAD3,2.9352375992640027,3.5311261396412505,-0.5958885403772478,-4.798297443406336,43.614835533211945,1.902556763955232e-05,0.00011158894674423375,0.15963304616665663,0.16046779367879918,Down,ns,ns
LIPH,0.1700113015337909,0.9224422365689358,-0.7524309350351448,-4.798064459301719,43.614835533211945,1.9040033569783787e-05,0.00011158894674423375,0.2636657682364082,0.2558781931888764,Down,ns,ns
ANG,2.3138508586419317,2.969318092935844,-0.6554672342939121,-4.797539703092572,43.614835533211945,1.907265524625501e-05,0.0001117287884039918,0.19643693982501623,0.19422134859506987,Down,ns,ns
SMARCD3,2.5858795134454406,3.2830039749144064,-0.6971244614689658,-4.794981056095126,43.614835533211945,1.923250462887438e-05,0.00011261346718642561,0.22446588173930787,0.2199272274059145,Down,ns,ns
CYP2U1,1.156704519298504,1.6785670235244776,-0.5218625042259737,-4.792095009785766,43.614835533211945,1.941439156283309e-05,0.00011362631280441045,0.11920869099843631,0.12339384425400968,ns,ns,ns
NUAK1,2.2855997164421056,3.2169307364445667,-0.9313310200024612,-4.790621122349339,43.614835533211945,1.950793248850502e-05,0.00011412140505775436,0.4134400427103443,0.39323904542447463,Down,ns,ns
EIF4E,3.6004831971803544,3.0750882335933567,0.5253949635869977,4.789613886578803,43.614835533211945,1.9572112267551844e-05,0.0001144443593526312,0.12117763679587705,0.12519960210990383,ns,ns,ns
IL24,2.259787405967145,0.38406136865251617,1.875726037314629,4.786742238776536,43.614835533211945,1.975623347516553e-05,0.00011546803185553896,1.7267317215546942,1.5976839667809253,Up,Up,Up
ATP6V1D,5.149256340387425,4.340163608650142,0.8090927317372829,4.786188440619945,43.614835533211945,1.9791936953561517e-05,0.00011562371597286762,0.3088713964272315,0.2973371395663309,Up,ns,ns
BPTF,3.3002359589601613,3.744764528370042,-0.4445285694098806,-4.785418157680337,43.614835533211945,1.9841702902034797e-05,0.00011586137230295319,0.0825598646351596,0.0897825045204282,ns,ns,ns
