,Sample02_DFS20,Sample03_DFS21,Sample04_DFS31,Sample05_DFS32,Sample06_DFS34,Sample07_DFS37,Sample08_DFS39,Sample09_UM#7W4,Sample10_UM#8W4,Sample11_UM#15W0,Sample12_UM#23W0,Sample13_UM#24W0,Sample14_UM#30W4,Sample15_P2#13,Sample16_UM#27W4,Sample17_UM#28W4,Sample18_UM#31W4,Sample19_P2#01,Sample20_P2#03,Sample22_P2#21,Sample01_DFS11,DW1,DW2,DW3,DW4,DW5,DW6,DW7,DW8,DW9,DW10,N1,N2,N3,N4,N5,N6,N7,N8,N9,N10,N11
Sample01_DFS11,0.07390764588476151,0.08461259085774009,0.19276062869108412,0.14094163872581555,0.126117468206022,0.07787927391141136,0.04476471058272702,0.23233511352217306,0.21876417857492647,0.22006229289135293,0.2025781641591381,0.27255491334921433,0.2089845046853379,0.26027921385302233,0.2129255022593225,0.21267824148446635,0.3118347406005073,0.15974775602930258,0.23051003025223848,0.22380487847158226,0.0,0.8472957159819161,0.7999825729179534,0.8313028548940059,0.8363560759817543,0.8118460420989325,0.8393541720210144,0.8369853214876383,0.8588028124094503,0.8133790963136838,0.8047735804705579,0.7645351167382165,0.4950675251737011,0.26923546966787526,0.5743536521778787,0.7496868579314339,0.4436112980415623,0.3167630983631444,0.7305811451570181,0.3625654424853011,0.40026830623110365,0.31748217367556664
DW1,0.9633062837672733,0.9323963415691614,0.8071716471503696,0.9584941831066685,0.7243164624314986,0.9504304289225112,0.9413381854029259,1.0957254422744098,0.8155759524729433,0.7074426182274329,1.0104239827285897,0.8200871285181917,0.7708659574790271,0.5777362927066074,1.0152809398704763,1.0244360297035393,1.109089475902211,0.9619480462455647,0.8882554417775376,0.7670079908083561,0.8472957159819161,0.0,0.03711359270906345,0.03452778017678371,0.09216042078994535,0.03906049387975874,0.05333243314955949,0.029843818838360958,0.028424981985434528,0.041802274358292424,0.0488123679593746,0.2272130871805903,0.3579923038155589,0.6152647364664467,0.24387249808556422,0.23913553252867203,0.33485767440658565,0.5427926000119109,0.2430393348728529,0.5023563473543251,0.39801170642182204,0.5383886537193184
DW2,0.9417011217686316,0.9051655029964296,0.7909850185784881,0.9390938892653093,0.6763448259100573,0.9143655259738641,0.9043485455611612,1.1031970639996012,0.8147625968507852,0.7010458367724468,1.0164086663260141,0.8113450788972774,0.7719300425313913,0.5523174979694061,1.0200587997026878,1.0299952415981264,1.119320409360766,0.9617775446493217,0.8917877894305202,0.7422354651760079,0.7999825729179534,0.03711359270906345,0.0,0.051372252691123,0.0717919740295272,0.04872011521457287,0.05800134125001788,0.04220088608295769,0.04426428682373684,0.061272975756707204,0.07160311628680627,0.19727364230469968,0.3444239993566873,0.5969329398657535,0.22928454739018633,0.21439084288561838,0.321460403705603,0.5249522110994221,0.21587051325036655,0.4813509210261261,0.37655063800125377,0.5149892349797436
DW3,0.9482727778938661,0.9161938715652426,0.8004480828112873,0.9269778639386069,0.6966176851164022,0.9191795743252335,0.9290671060872803,1.0773628213460575,0.8027268525439957,0.6864566509249385,0.9972011326797128,0.80968287301081,0.7587531486101929,0.5621678983883925,0.9904947636007329,1.0001146629795288,1.0972485128999545,0.9431389892394633,0.8743301921500729,0.7526269635662737,0.8313028548940059,0.03452778017678371,0.051372252691123,0.0,0.11559718893260273,0.02877893303858925,0.03947608217024767,0.029242167457308788,0.04531226997447069,0.033578289580692755,0.03478142290246511,0.2321503691750203,0.359768399243787,0.600658631420055,0.23809512758040718,0.25364588891940376,0.32892988194451545,0.5360457336659865,0.2510352593637418,0.49174596922886304,0.3759683854233077,0.5144040601156197
DW4,0.9844201924937169,0.9456153065654652,0.8448765910619181,0.9878125368146868,0.7260130341764335,0.9455769185353344,0.9478732787898183,1.1375733590784367,0.8692787606262977,0.7608889819397175,1.0591188532712048,0.8676441380843811,0.8339749083813424,0.6292936686712909,1.065333565006058,1.075131809517512,1.1460666577448135,1.0139189968686582,0.9508304195650136,0.806618821396911,0.8363560759817543,0.09216042078994535,0.0717919740295272,0.11559718893260273,0.0,0.12457335257676283,0.12128878622394812,0.09971918260389179,0.09227699233267106,0.12202369011756464,0.13324987875782401,0.12305515591217375,0.3861479619698023,0.6345057137924593,0.24446264496720593,0.14268140177341737,0.3422569818513891,0.5495347694340214,0.1530361712773206,0.4959654437817125,0.4083524327353686,0.5619983959502497
DW5,0.9235944738445526,0.8879743507783693,0.8004247264015412,0.9066378293667557,0.6939022880029972,0.9034474708549587,0.9071023713898971,1.0724834250034285,0.8091071374709866,0.6939806466768321,0.9921922522499715,0.813048287154591,0.7562723074166242,0.5503934144726046,0.9884625222793546,0.9965803837510483,1.098873038510894,0.9357986561168757,0.8733505744660599,0.7375142524839239,0.8118460420989325,0.03906049387975874,0.04872011521457287,0.02877893303858925,0.12457335257676283,0.0,0.037430200879594144,0.03588834081231429,0.06098460548275686,0.04643053208198733,0.03641445079237837,0.22640695218441997,0.3489674537001679,0.5674316355457162,0.2094659096689786,0.23949830567599728,0.297272587729422,0.5254375192387166,0.23065393681300472,0.46579314462641663,0.3505452365047266,0.4746977536577148
DW6,0.9545193963242582,0.9195245185609068,0.8114692882207157,0.9382376013533749,0.712457101804624,0.928749577425305,0.9270182787432724,1.0915945508308476,0.8222173396047312,0.7082605249322731,1.0180504318854875,0.8307432861613474,0.7928184558588881,0.5859762865334089,1.0116560618825017,1.020556202433294,1.115064231104216,0.9685759965613876,0.9055966568666323,0.7841805814439827,0.8393541720210144,0.05333243314955949,0.05800134125001788,0.03947608217024767,0.12128878622394812,0.037430200879594144,0.0,0.05559567978628521,0.06875214227249593,0.0746166542445077,0.05449872284214474,0.23195494775707182,0.36697222899137427,0.6010328697842766,0.2557623548650475,0.259245345142577,0.33575089962286897,0.5559904747284059,0.2540943638966441,0.5036750694863166,0.37010379802121784,0.5212094515096382
DW7,0.9544765076727819,0.9224048190909434,0.7993163953849727,0.9329854894280408,0.7052924314230619,0.9281322516014392,0.9370475245944344,1.0873697071848158,0.8155635856701933,0.7047918255144878,1.0014446043164829,0.8165725343414268,0.7660628468858419,0.5724753322975578,1.0050128387527435,1.0136052150592443,1.1018450152193728,0.9514099925636017,0.8819266768352978,0.754600156402295,0.8369853214876383,0.029843818838360958,0.04220088608295769,0.029242167457308788,0.09971918260389179,0.03588834081231429,0.05559567978628521,0.0,0.02850475619261461,0.041472567318695974,0.04932451277663241,0.21545528617164245,0.36339614226080164,0.6047404468025742,0.23641950732198025,0.234248581627714,0.33105614063329636,0.5388986811678569,0.23632474450605923,0.49488429273623236,0.3852072642149632,0.5198032590139847
DW8,0.9765760893786756,0.9467149710003178,0.7936817426117857,0.9657533606777922,0.7252890866272487,0.9589508687708104,0.9500031987850784,1.0928214056671073,0.8122884028120506,0.7047605349535977,1.0098609833396697,0.8119979513679523,0.7764522346687566,0.5993666880873748,1.0146269319932744,1.0252036837254892,1.1030699334157166,0.9659435046899241,0.8913720837117526,0.7806171456883781,0.8588028124094503,0.028424981985434528,0.04426428682373684,0.04531226997447069,0.09227699233267106,0.06098460548275686,0.06875214227249593,0.02850475619261461,0.0,0.052051059125350796,0.07556586178678004,0.24603369933418406,0.36478662280054064,0.6422524111446312,0.288265082558015,0.2569938488337603,0.3777897580766876,0.5558230075577283,0.2666549568578298,0.5303494353112536,0.4337283260281688,0.5702523843809474
DW9,0.9294765544499752,0.8971113934438489,0.7945730542045135,0.9187964524457982,0.6936104671127044,0.9027954746482925,0.9144521364360565,1.0646428661764404,0.7894138136191443,0.6866651568429998,0.9754179239635672,0.7878640387416234,0.7302903433516422,0.5429683558085392,0.9705186732776084,0.9788381691240795,1.0736020237201824,0.9226337015691404,0.8481823401542932,0.7230489198561034,0.8133790963136838,0.041802274358292424,0.061272975756707204,0.033578289580692755,0.12202369011756464,0.04643053208198733,0.0746166542445077,0.041472567318695974,0.052051059125350796,0.0,0.03331681993708957,0.23310787215628148,0.37113320470013145,0.5936442474176358,0.22363667133825227,0.2442219608839039,0.3138414268286728,0.5372371692636776,0.2430650993245128,0.4887035540435851,0.38771268073486964,0.511213390479091
